AGPR ID,Land Description,Address,Suburb,State or Territory,Postcode,Latitude,Longitude
AGPR6928,Block 5 Section 44 Division Kingston,KINGSTON,KINGSTON,ACT,2604,-35.31081,149.1486
AGPR6927,Block 9 Section 67 Division Deakin,18 Beale Street DEAKIN,DEAKIN,ACT,2600,-35.32418,149.08927
AGPR6926,Block 5 Section 37 Division City,Coranderrk Street CITY,CITY,ACT,2600,-35.28578,149.13455
AGPR6925,Block 1 Section 8 Division Capital Hill,Capital Circle CAPITAL HILL,CAPITAL HILL,ACT,2600,-35.30479,149.12593
AGPR6924,Block 1 Section 129 Division Campbell,Morshead Drive CAMPBELL,CAMPBELL,ACT,2600,-35.29951,149.15428
AGPR6923,Block 2 Section 125 Division Campbell,Morshead Drive CAMPBELL,CAMPBELL,ACT,2600,-35.30244,149.15965
AGPR692,Lot 7  DP261444,511 Tocumwal Road MULWALA,MULWALA,NSW,2647,-35.97196418,145.9966024
AGPR6917,Volume 5327 Folio 419,Government Road PORT WAKEFIELD,PORT WAKEFIELD,SA,5550,-34.24834177,138.1823555
AGPR6916,Volume 5246 Folio 311,Lorne Road WILD HORSE PLAINS,WILD HORSE PLAINS,SA,5501,-34.38072175,138.245899
AGPR6903,Volume 5228 Folio 280,Port Wakefield Highway WAKEFIELD,WAKEFIELD,SA,5550,-34.30860603,138.2425256
AGPR690,Lot 1  DP856211,James Road MEDOWIE,MEDOWIE,NSW,2318,-32.75663198,151.9138023
AGPR6899,Block 21 Section 33 Division Acton,Lawson Crescent ACTON,ACTON,ACT,2601,-35.29328,149.11856
AGPR6897,Block 2 Section 55 Division Acton,25 Lennox Crossing ACTON,ACTON,ACT,2601,-35.29198,149.11875
AGPR6894,Block 4 Section 2 Division Parkes,Regatta Place PARKES,PARKES,ACT,2600,-35.28861,149.12813
AGPR6893,Block 1344 District Canberra,Lady Denman Drive CANBERRA CENTRAL,CANBERRA CENTRAL,ACT,2611,-35.29005,149.08145
AGPR6892,Block 1343 District Canberra,245 Lady Denman Drive CANBERRA CENTRAL,CANBERRA CENTRAL,ACT,2611,-35.2885,149.08384
AGPR6891,Block 1342 District Canberra,CANBERRA,CANBERRA,ACT,2600,-35.29248,149.08539
AGPR6890,Block 1339 District Canberra,Lady Denman Drive CANBERRA CENTRAL,CANBERRA CENTRAL,ACT,2611,-35.29227,149.08268
AGPR6889,Block 1338 District Canberra,Lady Denman Drive CANBERRA CENTRAL,CANBERRA CENTRAL,ACT,2611,-35.29575,149.07395
AGPR6888,Block 1300 District Canberra,Barrenjoey Drive CANBERRA CENTRAL,CANBERRA CENTRAL,ACT,2611,-35.29489,149.07496
AGPR6887,Block 1299 District Canberra,Barrenjoey Drive CANBERRA CENTRAL,CANBERRA CENTRAL,ACT,2611,-35.29386,149.08132
AGPR6886,Block 1297 District Canberra,Barrenjoey Drive CANBERRA CENTRAL,CANBERRA CENTRAL ,ACT,2611,-35.28964,149.08381
AGPR6885,Block 31  Division Molonglo Valley,Lady Denman Drive WESTON CREEK,WESTON CREEK,ACT,2611,-35.28982778,149.0788861
AGPR6884,Block 30  Division Molonglo Valley,Lady Denman Drive WESTON CREEK,WESTON CREEK,ACT,2611,-35.29361944,149.0739222
AGPR6883,Block 31 Section 5 Division O'Malley,Culgoa Circuit O'MALLEY,O'MALLEY,ACT,2606,-35.35335,149.10387
AGPR6881,Block 29 Section 5 Division O'Malley,12 Jindalee Crescent O'MALLEY,O'MALLEY,ACT,2606,-35.35353,149.10303
AGPR6880,Block 28 Section 5 Division O'Malley,10 Jindalee Crescent O'MALLEY,O'MALLEY,ACT,2606,-35.35423,149.10314
AGPR6879,Block 27 Section 5 Division O'Malley,8 Jindalee Crescent O'MALLEY,O'MALLEY,ACT,2606,-35.35451,149.10335
AGPR6878,Block 26 Section 5 Division O'Malley,4 Jindalee Crescent O'MALLEY,O'MALLEY,ACT,2606,-35.35471,149.10371
AGPR6877,Block 25 Section 5 Division O'Malley,2 Jindalee Crescent O'MALLEY,O'MALLEY,ACT,2606,-35.35488,149.10417
AGPR6875,Block 24 Section 5 Division O'Malley,24 Culgoa Circuit O'MALLEY,O'MALLEY,ACT,2606,-35.35473,149.10478
AGPR6873,Block 23 Section 5 Division O'Malley,22 Culgoa Circuit O'MALLEY,O'MALLEY,ACT,2606,-35.3543,149.10432
AGPR6871,Block 22 Section 4 Division O'Malley,6 Jindalee Crescent O'MALLEY,O'MALLEY,ACT,2606,-35.35483,149.10215
AGPR6869,Block 21 Section 4 Division O'Malley,11 Dunoon Street O'MALLEY,O'MALLEY,ACT,2606,-35.35145,149.10219
AGPR6868,Block 20 Section 4 Division O'Malley,13 Dunoon Street O'MALLEY,O'MALLEY,ACT,2606,-35.35169,149.10128
AGPR6866,Block 19 Section 4 Division O'Malley,15 Dunoon Street O'MALLEY,O'MALLEY,ACT,2606,-35.35257,149.10127
AGPR6864,Block 18 Section 4 Division O'Malley,17 Dunoon Street O'MALLEY,O'MALLEY,ACT,2606,-35.35335,149.10126
AGPR6863,Block 17 Section 4 Division O'Malley,19 Dunoon Street O'MALLEY,O'MALLEY,ACT,2606,-35.35428,149.10133
AGPR6862,Block 17 Section 86 Division Yarralumla,Moonah Place YARRALUMLA,YARRALUMLA,ACT,2600,-35.30804,149.11765
AGPR6860,Block 16 Section 86 Division Yarralumla,Adelaide Avenue YARRALUMLA,YARRALUMLA,ACT,2600,-35.30894,149.11807
AGPR6858,Block 16 Section 87 Division Russell,Constitution Avenue RUSSELL,RUSSELL,ACT,2600,-35.2967,149.15199
AGPR6857,Block 15 Section 4 Division O'Malley,11 Jindalee Crescent O'MALLEY,O'MALLEY,ACT,2606,-35.35416,149.10204
AGPR6856,Block 15 Section 86 Division Yarralumla,Adelaide Avenue YARRALUMLA,YARRALUMLA,ACT,2600,-35.30841,149.11861
AGPR6853,Block 15 Section 29 Division Parkes,Queen Elizabeth Terrace PARKES,PARKES,ACT,2600,-35.2981,149.13636
AGPR6852,Block 14 Section 4 Division O'Malley,13 Jindalee Crescent O'MALLEY,O'MALLEY,ACT,2606,-35.35335,149.10199
AGPR6849,Block 14 Section 29 Division Parkes,Kings Avenue PARKES,PARKES,ACT,2600,-35.30034,149.13862
AGPR6848,Block 14 Section 17 Division Yarralumla,Mariner Place YARRALUMLA,YARRALUMLA,ACT,2600,-35.29937,149.11609
AGPR6847,Block 14 Section 87 Division Russell,Reg Saunders Way RUSSELL,RUSSELL,ACT,2600,-35.29602,149.15109
AGPR6846,Block 13 Section 4 Division O'Malley,15 Jindalee Crescent O'MALLEY,O'MALLEY,ACT,2606,-35.35256,149.10204
